,bin,city,company,summary,title
361,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
362,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
363,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
364,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
365,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
366,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
367,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
368,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
369,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
370,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
371,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
372,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
373,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
374,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
375,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
376,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
377,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
378,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
379,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
380,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
381,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
382,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
383,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
384,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
385,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
386,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
387,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
388,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
389,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
390,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
391,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
392,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
393,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
394,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
395,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
396,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
397,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
398,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
399,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
